Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
Senegal,11/21/2014,1,0
Guinea,11/21/2014,2047,1214
Sierra Leone,11/26/2014,6599,1398
Liberia,11/26/2014,7168,3016
Mali,11/26/2014,8,6
United States of America,11/26/2014,4,1
Spain,11/26/2014,1,0
Nigeria,11/26/2014,20,8
Guinea,11/26/2014,2134,1260
Senegal,11/26/2014,1,0
Senegal,12/1/2014,1,0
Mali,12/1/2014,8,6
Spain,12/1/2014,1,0
Sierra Leone,12/1/2014,7109,1530
Liberia,12/1/2014,7635,3145
Nigeria,12/1/2014,20,8
Guinea,12/1/2014,2155,1312
United States of America,12/1/2014,4,1
Mali,12/3/2014,8,6
Spain,12/3/2014,1,0
Guinea,12/3/2014,2164,1327
Senegal,12/3/2014,1,0
Sierra Leone,12/3/2014,7312,1583
Liberia,12/3/2014,7635,3145
United States of America,12/3/2014,4,1
Nigeria,12/3/2014,20,8
Spain,12/10/2014,1,0
Guinea,12/10/2014,2292,1428
Senegal,12/10/2014,1,0
Mali,12/10/2014,8,6
Liberia,12/10/2014,7719,3177
Sierra Leone,12/10/2014,7897,1768
Nigeria,12/10/2014,20,8
United States of America,12/10/2014,4,1
Spain,12/15/2014,1,0
Nigeria,12/15/2014,20,8
Guinea,12/15/2014,2394,1518
United States of America,12/15/2014,4,1
Mali,12/15/2014,8,6
Liberia,12/15/2014,7797,3290
Senegal,12/15/2014,1,0
Sierra Leone,12/15/2014,8273,2033
Nigeria,12/17/2014,20,8
Senegal,12/17/2014,1,0
Spain,12/17/2014,1,0
Liberia,12/17/2014,7797,3290
Mali,12/17/2014,8,6
United States of America,12/17/2014,4,1
Guinea,12/17/2014,2416,1525
Sierra Leone,12/17/2014,8356,2085
Spain,12/22/2014,1,0
United States of America,12/22/2014,4,1
Nigeria,12/22/2014,20,8
Senegal,12/22/2014,1,0
Guinea,12/22/2014,2571,1586
Liberia,12/22/2014,7830,3376
Mali,12/22/2014,8,6
Sierra Leone,12/22/2014,8939,2556
Sierra Leone,12/23/2014,9004,2582
Mali,12/23/2014,8,6
Spain,12/23/2014,1,0
Liberia,12/23/2014,7830,3376
Senegal,12/23/2014,1,0
Guinea,12/23/2014,2597,1607
Nigeria,12/23/2014,20,8
United States of America,12/23/2014,4,1
Nigeria,12/24/2014,20,8
